title,writer,publication,callno,href
村上春樹批判,흑고일부,"東京 :ア-ツアンドクラフツ,2015",813.3 촌상춘흑,https://library.cau.ac.kr/#/search/detail/7081562
Principles of physics,"Halliday, David","Hoboken NJ :Wiley,2014.",530 H188p10,https://library.cau.ac.kr/#/search/detail/7088533
The Norton anthology of American literature,"Baym, Nina","New York :W.W. Norton & Co.,2013.",820.8 B359n8-1,https://library.cau.ac.kr/#/search/detail/7088473
Storytime :young children's literary understanding in the classroom,"Sipe, Lawrence R","New York :Teachers College Press,c2008.",372.6 S618s,https://library.cau.ac.kr/#/search/detail/7088450
The dynamics of persuasion :communication and attitudes in the 21st century,"Perloff, Richard M","New York :Routledge,2014.",153.852 P451d5,https://library.cau.ac.kr/#/search/detail/7088418
Developing organizational simulations :a guide for practitioners and students,"Thornton, George C","Mahwah, N.J. :L. Erlbaum Associates,c2004.",658.312404 T513d,https://library.cau.ac.kr/#/search/detail/7088373
Fitzgerald & Kingsley's electric machinery,"Umans, Stephen D","New York :McGraw-Hill Companies,c2014.",621.31042 F553e7,https://library.cau.ac.kr/#/search/detail/7085951
Classical mechanics,"Goldstein, Herbert","Upper Saddle River, N.J. :Pearson / Addison Wesley ;Pearson Education International,2014.",531 G624cp3,https://library.cau.ac.kr/#/search/detail/7085943
Solution processing of inorganic materials,"Mitzi, David B","Hoboken, N.J. :Wiley,c2009.",621.381 M685s,https://library.cau.ac.kr/#/search/detail/7085629
How the immune system works,"Sompayrac, Lauren","Chichester, West Sussex",616.079 S697h4,https://library.cau.ac.kr/#/search/detail/7085628
Public finance,"Rosen, Harvey S","New York, NY :McGraw-Hill Education,2014.",336.73 R813p10,https://library.cau.ac.kr/#/search/detail/7085418
Real estate market analysis :methods and case studies,"Brett, Deborah L","Washington, D.C. :Urban Land Institute,c2009.",333.33 S355r2,https://library.cau.ac.kr/#/search/detail/7063575
"Introduction to transport economics :demand, cost, pricing, and adoption","Spurling, David J","Boca Raton, FL :Universal-Publishers,c2010.",388.049 S772i,https://library.cau.ac.kr/#/search/detail/6993546
Human resource management :gaining a competitive advantage,"Noe, Raymond A","New York :McGraw-Hill Education,c2015.",658.3 N763h9,https://library.cau.ac.kr/#/search/detail/6773662
Digital design :with a introduction to the verilog hdl,"Mano, M. Morris","Upper Saddle River, NJ :Pearson Prentice Hall,2013.",621.395 M285d5,https://library.cau.ac.kr/#/search/detail/6321171
"Academic encounters, human behavior.4 :listening, speaking","Espeseth, Miriam","New York :Cambridge University Press,2012.",428.24 A168h2 v.4-1/v.4-2,https://library.cau.ac.kr/#/search/detail/5932406
Economics,"Krugman, Paul R","New York, NY :Worth Publishers,2009.",330 K94e2,https://library.cau.ac.kr/#/search/detail/5932364
ACSM's guidelines for exercise testing and prescription,"Pescatello, Linda S","Philadelphia :Wolters Kluwer/Lippincott Williams & Wilkins Health,c2014.",615.82 A512a9,https://library.cau.ac.kr/#/search/detail/5932254
Literature for today's young adults,"Nilsen, Alleen Pace","Boston :Pearson,c2013.",028.535 N712L9,https://library.cau.ac.kr/#/search/detail/5909410
Human diseases and conditions,"Izenberg, Neil","New York :Scribner/Thomson/Gale,2000-<2003 >",616.003 I98h supp.1/supp.2,https://library.cau.ac.kr/#/search/detail/5765654
International economics,"Feenstra, Robert C","New York :Worth,c2012.",337 F295i2,https://library.cau.ac.kr/#/search/detail/5765427
Patent valuation :improving decision making through analysis,"Murphy, William J","Hoboken, N.J. :John Wiley ＆ Sons,c2012.",657.4 M978p,https://library.cau.ac.kr/#/search/detail/5659173
Matching supply with demand :an introduction to operations management,"Cachon, Gerard","New York, NY :McGraw-Hill,c2013.",658.5 C119m3,https://library.cau.ac.kr/#/search/detail/5599403
Our common future,World Commission on Environment and Development,Oxford,363.7 W927o,https://library.cau.ac.kr/#/search/detail/5599088
