title,writer,publication,callno,href
21世紀へのビジヨン :前後を見直そう,복전신지,"東京 :善本社,昭和57[1983]",301.0953 복전신이,https://library.cau.ac.kr/#/search/detail/8126749
資本主義経済の理論 :text book,이등성,"東京 :岩波書店,1989(1992 7刷)",330.122 이등성자,https://library.cau.ac.kr/#/search/detail/8126745
マルクス事典,"Carver, Terrell","東京 :未來社,1991",335.4092 M392c촌,https://library.cau.ac.kr/#/search/detail/8126743
中國の經濟改革と開放政策 :開放體制下の社會主義,상원일경,"東京 :靑木書店,1987.",338.952 상원일중,https://library.cau.ac.kr/#/search/detail/8126742
現代中國の經濟改革,산내일남,"東京 :學陽書房,1988",338.952 산내일현,https://library.cau.ac.kr/#/search/detail/8126739
(なるほど図解) M&Aのしくみ,소본혜조,"東京 :中央経済社,平成17[2005]",658.16 소본혜m,https://library.cau.ac.kr/#/search/detail/8126738
朝鮮半島統一への道 :北朝鮮の危機と南北統一のシナリオ,황의각,"東京 :日本地域社會硏究所,2010",327.510518 황의각조,https://library.cau.ac.kr/#/search/detail/8126736
"紀行せよ, と村上春樹は言う",영촌화성,"東京 :未來社,2014",813.3 촌상춘영,https://library.cau.ac.kr/#/search/detail/8083086
村上春樹 :イニシエーションの物語,서인우,"福岡 :花書院,2013",813.3 촌상춘서,https://library.cau.ac.kr/#/search/detail/8083081
村上春樹と二十一世紀,천전양행,"東京 :おうふう,2016",813.3 촌상춘천,https://library.cau.ac.kr/#/search/detail/8061923
思春期をめぐる冒険 :心理療法と村上春樹の世界,암궁혜자,"大阪 :創元社,2016",813.3 촌상춘암2,https://library.cau.ac.kr/#/search/detail/8061922
"(繁华落尽, 冷眼尘埃) 张爱玲传",적효비,"武汉 :华中科技大学出版社,2015(2016 3刷)",812.3 장애령적,https://library.cau.ac.kr/#/search/detail/8061770
(永远的红尘追梦人) 三毛传,적효비,"武汉 :华中科技大学出版社,2015(2016 3刷)",812.8 삼모적,https://library.cau.ac.kr/#/search/detail/8061769
"(停留是刹那, 转身是天涯) 林徽因传",적효비,"武汉 :华中科技大学出版社,2015(2016 3刷)",812.1 임휘인적,https://library.cau.ac.kr/#/search/detail/8061679
管錐編,전종서,"北京 :生活·讀書·新知三聯書店,2007(2016 3刷)",812.08 전종서관2 v.1/v.2/v.3/v.4,https://library.cau.ac.kr/#/search/detail/8061673
