title,writer,publication,callno,href
北京四合院 =BeiJing quadrangle,가군,"北京 :清华大学出版社,2009(2010 printing)",728.0952 가군북,https://library.cau.ac.kr/#/search/detail/6090733
韓流百年の日本語文学,목촌일신,"京都 :人文書院,2009",813.09 목촌일한,https://library.cau.ac.kr/#/search/detail/6090379
花火,천내륜자,"東京 :リトル·モア,2001",770 천내륜화,https://library.cau.ac.kr/#/search/detail/6090050
現代東亞經濟論,안충영,"北京 :北京大學出版社,2004.",330.95 안충영현전,https://library.cau.ac.kr/#/search/detail/6089566
清末政治思想研究,소야천수미,"東京 :平凡社,2009-2010.",320.952 소야천청 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6089504
細川三斎 :茶の湯の世界,시부성일랑,"東京 :淡交社,2003",394.15 시부성세,https://library.cau.ac.kr/#/search/detail/6089503
金大中と日韓關係 :民主主義と平和の日韓 現代史,유상영,"서울 :延世大學 金大中圖書館,2013",327.51053 유상영김,https://library.cau.ac.kr/#/search/detail/6084617
生き方の演習 :若者たちへ,염야칠생,"東京 :朝日出版社,2010",158.1 염야칠생,https://library.cau.ac.kr/#/search/detail/6084384
古田織部茶書.1,고전중연,"京都 :思文閣,1976",394.10953 고전중고 v.1,https://library.cau.ac.kr/#/search/detail/6083385
妖怪図巻,경극하언,"東京 :国書刊行会,2000",398.20953 경극하요,https://library.cau.ac.kr/#/search/detail/6083382
日本怪異妖怪大事典,소송화언,"東京 :東京堂出版,2013",R 398.20953 소송화일,https://library.cau.ac.kr/#/search/detail/6083381
閾の思考 :他者·外部性·故郷,기전순일,"東京 :法政大学出版局,2013",104 기전순역,https://library.cau.ac.kr/#/search/detail/6068648
ドゥルーズ :ノマドロジー,소원자명,"東京 :講談社,2005",194 소원자들,https://library.cau.ac.kr/#/search/detail/6068647
"グロテスクな民主主義/文学の力 :ユゴー, サルトル, トクヴィル",서영량성,"東京 :ぷねうま舎,2013",840.9 서영량그,https://library.cau.ac.kr/#/search/detail/6068646
忠誠と反逆,환산진남,"東京 :筑摩書房,1998",181.3 환산진충,https://library.cau.ac.kr/#/search/detail/6068645
天皇制国家と女性 :日本キリスト教史における木下尚江,정현정,"東京 :教文館,2013.",275.3 정현정천,https://library.cau.ac.kr/#/search/detail/6067379
高血圧を自力で下げる新常識 :名医20人が薬に頼らず治す極意を伝授!,마키노출판,"東京 :マキノ出版,2012",616.132 마키노고,https://library.cau.ac.kr/#/search/detail/6067096
比較福祉国家 :理論·計量·各国事例,진목진인,"京都 :ミネルヴァ書房,2013",361.65 진목진비,https://library.cau.ac.kr/#/search/detail/6067095
"初級語学留学生のための日本語:フォローアップ問題集.1,初級読解+漢字編",강본휘언,"東京:凡人社,2010",413.8 강본휘초2 v.1,https://library.cau.ac.kr/#/search/detail/6063948
"初級語学留学生のための日本語:フォローアップ問題集.2,初級読解+漢字編",강본휘언,"東京:凡人社,2002",413.8 강본휘초2 v.2,https://library.cau.ac.kr/#/search/detail/6063947
はりま陰陽師紀行,파마학연구소,"東京 :神戸新聞総合出版センター,2006",133.3 파마학하,https://library.cau.ac.kr/#/search/detail/6063946
"XIXe siecle.Tome 2,1851-1891","Preiss, Axel","Paris :Bordas,c1988.",840.9 P924x,https://library.cau.ac.kr/#/search/detail/6090870
Fundamental methods of mathematical economics,"Chiang, Alpha C",New York,330.0151 C532f4,https://library.cau.ac.kr/#/search/detail/6090852
Conservation and restoration of glass,"Davison, Sandra","Oxford :Butterworth-Heinemann,2003.",748.20288 D265c2,https://library.cau.ac.kr/#/search/detail/6090847
Lettres européennes :manuel d’histoire de la littérature européenne,"Benoit-Dusausoy, Annick","Bruxelles :De Boeck,2007.",849 B473L2,https://library.cau.ac.kr/#/search/detail/6090846
Précis de littérature européenne,"Didier, Béatrice","Paris :Presses universitaires de France,1998.",809.894 D556p,https://library.cau.ac.kr/#/search/detail/6090845
Security and defence policy in the European Union,"Howorth, Jolyon","Basingstoke :Palgrave Macmillan,2007.",355.031094 H865s,https://library.cau.ac.kr/#/search/detail/6090844
"Content marketing for nonprofits :a communications map for engaging your community, becoming a favorite cause, and raising more money","Leroux Miller, Kivi","San Francisco :Jossey-Bass,2013.",658.8 L618c,https://library.cau.ac.kr/#/search/detail/6090843
Electromagnetic compatibility engineering,"Ott, Henry W","Hoboken, N.J. :John Wiley & Sons,2009.",621.38224 O89e,https://library.cau.ac.kr/#/search/detail/6090842
Applied mathematics and modeling for chemical engineers,"Rice, Richard G","Hoboken, New Jersey :Wiley,2012.",660.284 R497a2,https://library.cau.ac.kr/#/search/detail/6090841
Mission-based management :leading your not-for-profit in the 21st century,"Brinckerhoff, Peter C","Hoboken, N.J. :John Wiley & Sons,2009.",658.048 B858m3,https://library.cau.ac.kr/#/search/detail/6090840
Poverty and income distribution,"Wolff, Edward N","Chichester, U.K.",305.569 W855p2,https://library.cau.ac.kr/#/search/detail/6090839
Production pipeline fundamentals for film and game,"Dunlop, Renee","Burlington, MA :Focal Press,2014.",794.81526 D922p,https://library.cau.ac.kr/#/search/detail/6090838
1984,"Orwell, George","London :Penguin books,2003.",428.64 O79t,https://library.cau.ac.kr/#/search/detail/6090827
Narrative of the life of Frederick Douglass : an American slave,"Douglass, Frederick","Oxford : Oxford Univ. Press,1999.",973.8092 D737n,https://library.cau.ac.kr/#/search/detail/6090826
The BFG,"Dahl, Roald","New York, N.Y. :Puffin books,1998.",823 D131bp,https://library.cau.ac.kr/#/search/detail/6090825
Boy :tales of childhood,"Dahl, Roald","New York :Puffin Books,1999, c1984.",823 D131bt,https://library.cau.ac.kr/#/search/detail/6090824
An introduction to Karl Marx,"Elster, Jon",Cambridge [Cambridgeshire],335.4 E49i,https://library.cau.ac.kr/#/search/detail/6090822
"China, Inc. :how the rise of the next superpower challenges America and the world","Fishman, Ted C","New York :Scribner,c2005",338.952 F537c,https://library.cau.ac.kr/#/search/detail/6090821
The analytics of uncertainty and information,"Hirshleifer, Jack",Cambridge,null,https://library.cau.ac.kr/#/search/detail/6090820
Theories of inflation,"Frisch, Helmut",Cambridge [Cambridgeshire],332.4101 F917t,https://library.cau.ac.kr/#/search/detail/6090819
The international monetary system : forty years after Bretton Woods.no.28,Federal Reserve Bank of Boston,"Boston :Federal Reserve Bank of Boston,1984.",332.497 I61 v.28,https://library.cau.ac.kr/#/search/detail/6090818
Budget deficits and debt : issues and options : a symposium,Federal Reserve Bank of Kansas City,"[Kansas City, Mo. : The Bank, 1995 .",339.523 F293b,https://library.cau.ac.kr/#/search/detail/6090817
European banking,"Mullineux, A. W","Oxford, UK",null,https://library.cau.ac.kr/#/search/detail/6090815
The awakening and selected stories,"Chopin, Kate","New York :Penguin Books,2003.",823 C549ap,https://library.cau.ac.kr/#/search/detail/6090814
The hound of the Baskervilles,"Doyle, Arthur Conan","New York :Modern Library,2002.",823 D754h,https://library.cau.ac.kr/#/search/detail/6090813
"The lion, the witch, and the wardrobe","Lewis, C. S","New York :HarperEntertainment,c2005.",823 L673Lh,https://library.cau.ac.kr/#/search/detail/6090812
The book of five rings for executives :Musashi's classic book of competitive tactics,"Krause, Donald G",London,658.40019 K91b,https://library.cau.ac.kr/#/search/detail/6090810
General equilibrium analysis :studies in appraisal,"Weintraub, E. Roy","Cambridge, [Cambridgeshire] :Cambridge University Press,1985.",339.5 W424g,https://library.cau.ac.kr/#/search/detail/6090809
The winner's curse :paradoxes and anomalies of economic life,"Thaler, Richard H","Princeton, N.J. :Princeton University Press,1994, c1992.",330 T365w,https://library.cau.ac.kr/#/search/detail/6090808
"The Wall Street journal guide to the 50 economic indicators that really matter :from Big Macs to ""zombie banks, the indicators smart investors watch to beat the market","Constable, Simon","New York :Harper Business,c2011.",339.3 C756t,https://library.cau.ac.kr/#/search/detail/6090807
A significant life :fulfilling your eternal potential every day,"Graff, Jim","Colorado Springs, Colo. :Waterbrook Press,c2006.",248.4 G736s,https://library.cau.ac.kr/#/search/detail/6090806
State of denial,"Woodward, Bob","New York :Simon & Schuster,c2006.",973.931 W899s,https://library.cau.ac.kr/#/search/detail/6090805
The goal :a process of ongoing improvement,"Goldratt, Eliyahu M","Great Barrington, MA :North River Press,2004.",823 G621g3,https://library.cau.ac.kr/#/search/detail/6090804
The New York Institute of Finance guide to investing :the individual investor's complete sourcebook on the basics of investing,New York Institute of Finance,"New York :The Institute,c1992.",null,https://library.cau.ac.kr/#/search/detail/6090800
On the eve of the uprising and other stories from colonial Korea,"Sunyoung, Park","Ithaca, NY :East Asia Program, Cornell Universit,c2010.",811.3 S958o,https://library.cau.ac.kr/#/search/detail/6090797
Macroeconomics,"Galbraith, James K","Boston :Houghton Mifflin,c1994.",339 G148m,https://library.cau.ac.kr/#/search/detail/6090796
Rational expectations macroeconomics :an introductory handbook,"Minford, Patrick","Oxford, UK",339 M664r2,https://library.cau.ac.kr/#/search/detail/6090795
Ranking the liveability of the world's major cities :the Global Liveable Cities Index (GlCI),"Tan, Khee Giap",Singapore,307.76 T161r,https://library.cau.ac.kr/#/search/detail/6090793
"Annual analysis of competitiveness, development strategies and public policies on ASEAN-10 : 2000-2010",Tan khee giap,"Singapore :Asia Competitiveness Institute, Lee Kuan Yew School of Public Policy, National University of Singapore,2013.",338.9597 T165a,https://library.cau.ac.kr/#/search/detail/6090792
The debt and the deficit :false alarms/real possibilities,"Heilbroner, Robert L","New York :Norton,c1989.",336.34 H466d,https://library.cau.ac.kr/#/search/detail/6090791
Working with emotional intelligence,"Goleman, Daniel","New York :Bantam Books,1998.",658.409 G625w,https://library.cau.ac.kr/#/search/detail/6090790
Foundations of insurance economics :readings in economics and finance,"Dionne, Georges","Boston :Kluwer Academic Publishers,c1992.",null,https://library.cau.ac.kr/#/search/detail/6090789
Lectures on public economics,"Atkinson, A. B",London,336 A875L,https://library.cau.ac.kr/#/search/detail/6090788
Mutual funds :an introduction to the core concepts,"Mobius, Mark","Hoboken, NJ:John Wiley,2007.",332.6327 M687m,https://library.cau.ac.kr/#/search/detail/6090787
Competitiveness analysis and development strategies for 33 indonesian provinces,"Tan, Khee Giap","New Jersey :World Scientific,2013.",338.9598 T161c,https://library.cau.ac.kr/#/search/detail/6090785
The elements of business writing,"Blake, Gary",New York :Collier Books,808.06665 B636t,https://library.cau.ac.kr/#/search/detail/6090784
The macroeconomics of self-fulfilling prophecies,"Farmer, Roger E. A","Cambridge, Mass.",null,https://library.cau.ac.kr/#/search/detail/6090783
"From the land of hibiscus :Koreans in Hawai'i, 1903-1950","Ch'oe, Y?ng-ho","Honolulu:University of Hawai'i Press,c2007.",305.895 C545f,https://library.cau.ac.kr/#/search/detail/6090782
"The rules of life :a personal code for living a better, happier, more successful life","Templar, Richard","Harlowr, England :Pearson Prentice Hall,c2006.",158.1 T284r,https://library.cau.ac.kr/#/search/detail/6090781
