title,writer,publication,callno,href
ポストモダンの人間論 :歴史終焉時代の知的パラダイムのために,석기가언,"京都 :ナカニシヤ出版,2010",128 석기가포,https://library.cau.ac.kr/#/search/detail/5862421
メルロ=ポンティと病理の現象学,택전철생,"京都 :人文書院,2012",142.7 택전철메,https://library.cau.ac.kr/#/search/detail/5862420
イデオロギーとしての日本文化論,별부춘해,"東京 :思想の科学社,1997",306.0953 별부춘이,https://library.cau.ac.kr/#/search/detail/5862419
肉筆幽霊画の世界,안촌민신,"東京 :新人物往来社,2013",791.430953 안촌민육,https://library.cau.ac.kr/#/search/detail/5841880
キネマ旬報ベスト·テン80回全史 :1924-2006,기네마순보사,"東京 :キネマ旬報社,2007",791.430953 기네마키,https://library.cau.ac.kr/#/search/detail/5841879
特撮円谷組 :ゴジラと、東宝特撮にかけた青春,동보고지라회,"東京 :洋泉社,2010",791.430953 동보고특,https://library.cau.ac.kr/#/search/detail/5841878
幽霊学入門,하합상일랑,"東京 :新書館,2010",133.9 하합상유,https://library.cau.ac.kr/#/search/detail/5841877
小堀州茶友録,웅창공부,"東京 :中央公論新社,2007",394.10953 웅창공소2,https://library.cau.ac.kr/#/search/detail/5841876
小堀遠州,삼온,"東京 :吉川弘文館,1988",394.10953 삼온소2,https://library.cau.ac.kr/#/search/detail/5841875
朗読ダイエット,도리안조천,"東京 :左右社,2013",613.2 도리안랑,https://library.cau.ac.kr/#/search/detail/5841874
韩国人心目中的 中国形象,동향영,"北京 :社会科学文献,2012",306.0952 동향영한,https://library.cau.ac.kr/#/search/detail/5841491
韩国发展报告.2012,우림걸,"중국 :社会科学文献出版社,2012",338.951 우림걸한 2012,https://library.cau.ac.kr/#/search/detail/5841490
韩国独立运动与中国关系编年史 :1919-1949,석원화,"北京 :社會科學文獻出版社,2012",951.61 석원화한국 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5841489
韩国一瞥,종리군,"北京 :科学技术文献出版社,2009",306.0951 종리군한,https://library.cau.ac.kr/#/search/detail/5841488
中韩文化谈,김혜원,"北京 :北京大学出版社,2013.",306.0952 김혜원중,https://library.cau.ac.kr/#/search/detail/5841487
走读韩国,류창,"广州 :暨南大学出版社,2012",306.0951 류창주,https://library.cau.ac.kr/#/search/detail/5841486
青瓦台的悲剧 :韩国历任总统的黯淡结局,마광지,"北京 :中国经济出版社,2010",320.092 마광지청,https://library.cau.ac.kr/#/search/detail/5841485
玩转韩国 :韩国影视剧景点大搜罗,정유흥,"福州 :福建省地图,2013",915.1 정유흥완,https://library.cau.ac.kr/#/search/detail/5841484
百年韩国 :生活与文化,상영매,"长春 :吉林出版集团有限责任公司,2011",306.0951 한국역우상,https://library.cau.ac.kr/#/search/detail/5841483
韩国首任女总统 朴槿惠,홍종화,"太原 :山西人民出版社,2013",320.092 박근혜홍양,https://library.cau.ac.kr/#/search/detail/5841482
"韩国学论文集.第二十一辑(2012),中韩建交20周年专辑",북경대학한국학연구중심,"广州 :中山大学出版社,2013",951 북경대한 2012 v.21,https://library.cau.ac.kr/#/search/detail/5841481
朴槿惠 :嫁给韩国的女人,강요식,"北京 :龙门书局,2013",320.092 박근혜강양,https://library.cau.ac.kr/#/search/detail/5841480
韩国一本就GO =Republic of Korea pass,일본취GO편집부,"桂林 :广西师范大学出版社,2012",915.1 일본취한,https://library.cau.ac.kr/#/search/detail/5841479
首尔好吃好玩真好买,호흘호완,"北京 :中国旅游出版社,2011",915.1 호흘호수,https://library.cau.ac.kr/#/search/detail/5841478
绝望创造希望 :朴槿惠的传奇人生,김병완,"北京 :人民,2013",320.092 박근혜김형,https://library.cau.ac.kr/#/search/detail/5841477
韩国学 :理论与方法,임형택,"济南 :山东大学出版社,2010",951 임형택실이,https://library.cau.ac.kr/#/search/detail/5841476
日韩新旅行指南,왕홍명,"北京 :龙门书局,2012",915 왕홍명일,https://library.cau.ac.kr/#/search/detail/5841475
首尔旅游全攻略,황아사,"北京 :中国人民大学出版社,2012",915.1 황아사수,https://library.cau.ac.kr/#/search/detail/5841474
中国朝鲜学—韩国学工具书指南,최련,"北京 :民族出版社,2011",016.951 최련중 2011,https://library.cau.ac.kr/#/search/detail/5841473
長闇堂記,신진조부,"京都 :淡交社,2011",394.10953 신진조장,https://library.cau.ac.kr/#/search/detail/5840235
「かわいい」論,사방전견언,"東京:筑摩書房,2006",701.17 사방전카,https://library.cau.ac.kr/#/search/detail/5840217
朝日キーワード.2014,朝日新聞社,"東京:朝日新聞社,2013",303.49 조일신조 2014,https://library.cau.ac.kr/#/search/detail/5840216
悩む力,강상중,"東京:集英社,2008",179.9 강상중뇌,https://library.cau.ac.kr/#/search/detail/5840215
(続)悩む力,강상중,"東京:集英社,2012",179.9 강상중뇌속,https://library.cau.ac.kr/#/search/detail/5840214
閃光スクランブル,가등시게아키,"東京:角川書店,2013",813 가등시섬,https://library.cau.ac.kr/#/search/detail/5840213
太宰治:戦中と戦後,군계부,"東京:笠間書院,2005",813.09 군계부태,https://library.cau.ac.kr/#/search/detail/5840212
小堀遠州の茶会,심곡신자,"東京 :柏書房,2009",394.10953 심곡신소,https://library.cau.ac.kr/#/search/detail/5815908
チャート式基礎と演習 数学 :新課程,차트연구소,"東京 :数研出版,2012",510 차트연차 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5815905
禁断の魔術,동야규오,"東京 :文藝春秋,2012",813.3 동야규금,https://library.cau.ac.kr/#/search/detail/5815904
虚像の道化師,동야규오,"東京 :文藝春秋,2012",813.3 동야규허,https://library.cau.ac.kr/#/search/detail/5815903
海外の日本語の新しい言語秩序 :日系ブラジル·日系アメリカ人社会における日本語による敬意表現,산하효미,"東京 :三元社,2007",413 산하효해,https://library.cau.ac.kr/#/search/detail/5815902
媒介言語論を学ぶ人のために,목촌호랑크리스토프,"京都 :世界思想社,2009",400.13 목촌호매,https://library.cau.ac.kr/#/search/detail/5815901
茶の古典,통정굉일,"京都 :淡交社,2001",394.15 다도학 v.10,https://library.cau.ac.kr/#/search/detail/5814654
茶と文芸,호전승구,"京都 :淡交社,2001",394.15 다도학 v.9,https://library.cau.ac.kr/#/search/detail/5814653
東洋の茶,고교충언,"京都 :淡交社,2000",394.15 다도학 v.7,https://library.cau.ac.kr/#/search/detail/5814652
分断国家の国語教育と在日韓国·朝鮮学校の民族語教育,박교희,"東京 :風間書房,2013",411.07 박교희분,https://library.cau.ac.kr/#/search/detail/5814651
西洋事情,복택유길,"東京 :慶應義塾大学出版会,2009",940 복택유서,https://library.cau.ac.kr/#/search/detail/5814650
映画で日本文化を学ぶ人のために,와전수홍,"京都 :世界思想社,2007",791.430953 와전수영,https://library.cau.ac.kr/#/search/detail/5814649
外国語の眼鏡をとおして見る日本語 :対照言語学若手の会シンポジウム2011発表論文集,세원건,"東京 :三恵社,2012",413 세원건외,https://library.cau.ac.kr/#/search/detail/5814648
胡蝶,이기승,"東京 :フィールドワイ,2013",813.3 이기승호,https://library.cau.ac.kr/#/search/detail/5765561
あのとき、文学があった :「文学者追跡」完全版,소산철랑,"東京 :論創社,2013",811.09 소산철아,https://library.cau.ac.kr/#/search/detail/5765560
言語学少女とバベルの塔,"Arbazard, Seren","名古屋 :ブイツーソリューション,2012",813.3 A664언,https://library.cau.ac.kr/#/search/detail/5765559
法博齐讲金融,"Fabozzi, Frank J","北京 :机械工业出版社,2012",332 F121b유,https://library.cau.ac.kr/#/search/detail/5765558
パラダイス鎖国 :忘れられた大国·日本,해부미지,"東京 :アスキー,2008",330.953 해부미바,https://library.cau.ac.kr/#/search/detail/5721776
徴兵制,대강지내부,"東京 :岩波書店,1981",355.22363 대강지징,https://library.cau.ac.kr/#/search/detail/5721775
