title,writer,publication,callno,href
樊川文集,두목,"上海 :上海古籍出版社,2007",812.08 두목번,https://library.cau.ac.kr/#/search/detail/7409642
诗歌的意象艺术与批评,경건화,"济南 :山东大学出版社,2010",812.09 경건화시,https://library.cau.ac.kr/#/search/detail/7409641
環境白書/循環型社会白書/生物多様性白書,일본,"東京 :日経印刷 :全国官報販売協同組合 [発売],2009-",R 363.7 일본환환 2015,https://library.cau.ac.kr/#/search/detail/5238121
中韩交流三千年,진상승,"北京 :中華書局,1997",327.52051 진상승중,https://library.cau.ac.kr/#/search/detail/1334351
防衛ハンドブック /朝雲新聞社 編,조운신문사,"東京 :朝雲新聞社,1975-",R 355.00953 방위하 2015,https://library.cau.ac.kr/#/search/detail/1270925
經濟財政白書,일본,"東京 :日経印刷,2001-",R 332.952 일본내경 2015,https://library.cau.ac.kr/#/search/detail/1225928
The Norton anthology of English literature :the major authors,"Greenblatt, Stephen","New York, NY :W.W. Norton & Company,c2013.",820.9 A161nm9,https://library.cau.ac.kr/#/search/detail/7429615
"On the truth of the Catholic faith :Summa contra Gentiles.Bk. 1,God","Thomas, Aquinas","Garden City, N. Y. :Image Books,1955.",230.2 T454sEp bk.1,https://library.cau.ac.kr/#/search/detail/7429563
Social movements :an introduction,"Della Porta, Donatella","Malden, MA :Blackwell Publishing,c2006.",303.484 D357s2,https://library.cau.ac.kr/#/search/detail/7429292
Global perspectives on adult education and learning policy,"Milana, Marcella","Houndmills, Basingstoke, Hampshire",374 M637g,https://library.cau.ac.kr/#/search/detail/7428770
The material culture reader,"Buchli, Victor",Oxford,306 B919m,https://library.cau.ac.kr/#/search/detail/7428756
Green architecture,"Liu, Chen","Hong Kong :Design Media Publishing Ltd.,2011.",720.47 L783g,https://library.cau.ac.kr/#/search/detail/7428741
Film narratology,"Verstraten, Peter","Toronto :University of Toronto Press,c2009.",791.436 V566hEL,https://library.cau.ac.kr/#/search/detail/7428738
Boundaries and categories :rising inequality in post-socialist urban China,"Wang, Feng","Stanford, Calif. :Stanford University Press,2008.",305.0951 W246b,https://library.cau.ac.kr/#/search/detail/7428737
The teacher's grammar of English :a course book and reference guide,"Cowan, Ron",Cambridge,null,https://library.cau.ac.kr/#/search/detail/7428467
Mechanics of materials,"Beer, Ferdinand P","New York, NY :McGraw-Hill Education,c2015.",620.112 B415m7,https://library.cau.ac.kr/#/search/detail/7413075
Introduction to materials science for engineers,"Shackelford, James F","Boston :Pearson,c2015.",620.11 S524i8,https://library.cau.ac.kr/#/search/detail/7413071
Fluid mechanics,"White, Frank M","New York :McGraw-Hill,c2011.",620.106 W584f7-s,https://library.cau.ac.kr/#/search/detail/7413057
"Corporate security management :challenges, risks, and strategies","Cabric, Marko","Oxford :Butterworth-Heinemann,c2015.",658.47 C117c,https://library.cau.ac.kr/#/search/detail/7413052
C++ how to program,"Deitel, Paul J","Boston :Pearson Education Limited,c2014.",005.133 D325c9,https://library.cau.ac.kr/#/search/detail/7413046
A short course in teaching reading :practical techniques for building reading power,"Mikulecky, Beatrice S","White Plains, N.Y. :Pearson Longman,2011.",428.407 M636s2,https://library.cau.ac.kr/#/search/detail/7413039
Campbell-Walsh urology,"Wein, Alan J","Philadelphia, PA :Elsevier,c2016.",616.6 C192-11 v.1/v.2/v.3/v.4,https://library.cau.ac.kr/#/search/detail/7412944
Pediatric ophthalmology and strabismus,"Wright, Kenneth W","New York :Springer,c2003.",618.920977 W951p2,https://library.cau.ac.kr/#/search/detail/7412935
The scarlet letter,"Hawthorne, Nathaniel","Oxford :Oxford University Press,2007(2008 printing)",823 H399so,https://library.cau.ac.kr/#/search/detail/7412934
Effective security management,"Sennewald, Charles A","Amsterdam :Butterworth-Heinemann,2015.",658.47 S478e6,https://library.cau.ac.kr/#/search/detail/7412927
What is this thing called philosophy of language?,"Kemp, Gary",London,121.68 K32w,https://library.cau.ac.kr/#/search/detail/7412913
Understanding white-collar crime :an opportunity perspective,"Benson, Michael L","New York, NY :Routledge,2015.",364.168 B474u2,https://library.cau.ac.kr/#/search/detail/7412909
Theories of the policy process,"Sabatier, Paul A","Boulder, CO :Westview Press, a member of the Persus Books Group,c2014.",320.6 S113t3,https://library.cau.ac.kr/#/search/detail/7412900
The elbow and its disorders,"Morrey, Bernard F","Philadelphia, PA :Saunders/Elsevier,c2009.",617.574 M873e4,https://library.cau.ac.kr/#/search/detail/7412889
Teaching young learners English : from theory to practice,"Shin, Joan Kang","Boston, MA :Heinle,c2014.",428.0071 S556t,https://library.cau.ac.kr/#/search/detail/7412885
"Strasberg's method as taught by Lorrie Hull :a practical guide for actors, teachers, and directors","Hull, S. Loraine","Santa Barbara, CA :Hull-Smithers,2004.",792.028 S897h,https://library.cau.ac.kr/#/search/detail/7412880
"Diet, exercise, and chronic disease :the biological basis of prevention","Ardies, Curtis Murray","Boca Raton :Taylor & Francis,c2014.",616.044 A676d,https://library.cau.ac.kr/#/search/detail/7412872
"Rethinking social inquiry :diverse tools, shared standards","Brady, Henry E","Lanham, Md. :Rowman & Littlefield Publishers,c2010.",300.72 B812r2,https://library.cau.ac.kr/#/search/detail/7412871
Radiative heat transfer,"Modest, M. F","New York :Academic Press,2013.",621.4022 M691r3,https://library.cau.ac.kr/#/search/detail/7412866
Public administration and public affairs,"Henry, Nicholas","Boston :Pearson,c2013.",351 H523p12,https://library.cau.ac.kr/#/search/detail/7412865
Political sociology of adult education,"Torres, Carlos Alberto","Rotterdam :SensePublishers,2013.",374 T693p,https://library.cau.ac.kr/#/search/detail/7412862
