title,writer,publication,callno,href
武士道,신도호도조,"東京 :三笠書房,1997",155.8953 신도호b내,https://library.cau.ac.kr/#/search/detail/7179782
漱石とその時代,강등순,"東京 :新潮社,昭和45[1970]-平成11[1999]",813.092 하목수강 v.1/v.2/v.4/v.5,https://library.cau.ac.kr/#/search/detail/7179769
"色彩を持たない多崎つくると, 彼の巡禮の年 =Colorless Tsukuru Tazaki and his years of pilgrimage",촌상춘수,"東京 :文藝春秋,2013",813.3 촌상춘색,https://library.cau.ac.kr/#/search/detail/5840234
日本の防衛 :防衛白書 /防衛廳,日本,"東京 :國立印刷局,1976-",R 355.00953 방위백 2015,https://library.cau.ac.kr/#/search/detail/1260731
デジタルコンテンツ白書 =Digital content white paper /デジタルコンテンツ協會 編,디지털콘텐츠협회,"東京 :デジタルコンテンツ協會,2001-",R 006 디지털데 2015,https://library.cau.ac.kr/#/search/detail/1260726
電子部品年鑑 =Annual of electronic devices components /中日社 [編],중일사,"東京 :中日社,1984-",R 621.381 중일사전 2015,https://library.cau.ac.kr/#/search/detail/1187445
自衛隊裝備年鑑 /朝雲新聞社編集局 編著,조운신문사편집국,"東京 :朝雲新聞社,1967-",R 355.058 자위대장 1992/2015-2016,https://library.cau.ac.kr/#/search/detail/1187417
演劇年鑑,일본연극협회,"東京 :日本演劇協會,1974-",R 792.05 연극연 2015/2015 별책,https://library.cau.ac.kr/#/search/detail/1044226
日本近代文学の<誕生> :言文一致運動とナショナリズム,괘수실,"東京 :太田出版,1995",813.09 괘수실일,https://library.cau.ac.kr/#/search/detail/590226
中國情報ハンドブック /三菱總合硏究所 編,삼능총합연구소,"東京 :蒼蒼社,19uu-",R 332.678 중국정 1997/2015,https://library.cau.ac.kr/#/search/detail/332039
農業機械年鑑,신농림사,"東京 :新農林社,1973-",R 631.3058 농업기일 1974/2015,https://library.cau.ac.kr/#/search/detail/198405
勞務年鑑,일본노무연구회,"東京 :日本勞務硏究會,昭和50[1975]-",R 331.058 노무연 2015,https://library.cau.ac.kr/#/search/detail/187624
美術年鑑 =Art annual,미술연감사,"東京 :美術年鑑社,19uu-",R 705.8 미술연 2014/2015,https://library.cau.ac.kr/#/search/detail/172214
日本タイポグラフィ年鑑,日本タイポグラフィ協會年鑑編集委員會,"東京 :グラフィック社 :Graphic-sha,19--",R 655.25058 일본타 2015,https://library.cau.ac.kr/#/search/detail/170315
Social determinants of health,"Marmot, M. G",Oxford,362.1 M352s2,https://library.cau.ac.kr/#/search/detail/7181220
Carbon :electrochemical and physicochemical properties,"Kinoshita, K","New York :Wiley,c1988.",546.68157 K71c,https://library.cau.ac.kr/#/search/detail/7168997
Criminological theory :context and consequences,"Lilly, J. Robert","Thousand Oaks, CA :SAGE,c2015.",364.973 L729c6,https://library.cau.ac.kr/#/search/detail/7168694
Programming languages :principles and paradigms,"Tucker, Allen B","Boston :McGraw-Hill Higher Education,c2007.",005.13 T891p2,https://library.cau.ac.kr/#/search/detail/7168659
White-collar crime :the essentials,"Payne, Brian K","Thousand Oaks, Calif. :SAGE,c2013.",364.168 P346w,https://library.cau.ac.kr/#/search/detail/7168626
"Building code requirements for structural concrete (ACI 318-14) :an ACI standard : commentary on building code requirements for structural concrete (ACI 318R-14), an ACI report",ACI Committee 318,"Farmington Hills, MI :American Concrete Institute,2014.",624.1834 A512b 2014,https://library.cau.ac.kr/#/search/detail/7136507
