title,writer,publication,callno,href
"太宰治全集.2-10,小説",태재치,"東京 :筑摩書房,1998",813.3 태재치태 v.10/v.2/v.3/v.4/v.5/v.6/v.7/v.8/v.9,https://library.cau.ac.kr/#/search/detail/6010500
鎌倉期官人陰陽師の研究,적택춘언,"東京 :吉川弘文館,2011",133.3 적택춘겸,https://library.cau.ac.kr/#/search/detail/6010499
日本を救う陰陽師パワー :公開霊言安倍晴明·賀茂光栄,대천륭법,"東京 :幸福の科学出版,2010",133.3 대천륭일,https://library.cau.ac.kr/#/search/detail/6010498
ぐうたら人間学,원등주작,"東京 :講談社,1972",813.8 원등주구,https://library.cau.ac.kr/#/search/detail/5989520
なぜ世界の半分が飢えるのか :食糧危機の構造,"George, Susan","東京 :朝日新聞社,1984",338.19 G349hJ소,https://library.cau.ac.kr/#/search/detail/5989519
井上光晴,정상광정,"東京 :講談社,1972",813.092 정상광정,https://library.cau.ac.kr/#/search/detail/5989518
古代史を行く,조일신문서부본사,"福岡 :葦書房,1984",953.2 조일신고,https://library.cau.ac.kr/#/search/detail/5989517
問題はグローバル化ではないのだよ、愚か者 :人類が直面する20の問題,"Rischard, J. F","東京 :草思社,2003",363.7 R595hJ길,https://library.cau.ac.kr/#/search/detail/5989515
共生社會への地方參政權,서용달,"東京 :日本評論社,1995",352.14 서용달공,https://library.cau.ac.kr/#/search/detail/5989514
茉莉子,하수정자,"東京 :中央公論新社,1999",813.3 하수정말,https://library.cau.ac.kr/#/search/detail/5989513
木槿の国から敗戦の祖国へ,도원황,"東京 :文芸社,2002",813.8 도원황목,https://library.cau.ac.kr/#/search/detail/5989512
"吉田茂とその時代 上, 1878-1945","Dower, John W","東京 :ティビーエス·ブリタニカ,1981",953.6 D746eJ대 v.1,https://library.cau.ac.kr/#/search/detail/5989511
戰後日本の設計者 :ボ―トン回想錄,"Borton, Hugh","東京 :朝日新聞社,1998",953.092 B739sJ오,https://library.cau.ac.kr/#/search/detail/5989509
だれかの関係 :40の短篇集,정상광정,"東京 :文藝春秋,1985",813.3 정상광다,https://library.cau.ac.kr/#/search/detail/5989508
和解とナショナリズム :新版ㆍ戰後保守のアジア觀,약궁계문,"東京 :朝日新聞社,2006",327.53 약궁계화,https://library.cau.ac.kr/#/search/detail/5989507
西歐の議會 :民主主義の源流を探る,독매신문조사연구본부,"東京 :讀賣新聞社,1989",328.309 독매신서,https://library.cau.ac.kr/#/search/detail/5989506
李朝殘影 :梶山季之朝鮮小說集,미산이지,"東京 :インパクト出版會,2003.",813.3 미산이이,https://library.cau.ac.kr/#/search/detail/5989505
ユダの福音書を追え,"Krosney, Herbert","東京 :日経ナショナル ジオグラフィック社,2006",220 K93LJ관,https://library.cau.ac.kr/#/search/detail/5989504
流星雨,진촌절자,"東京 :岩波書店,1990",813.3 진촌절유,https://library.cau.ac.kr/#/search/detail/5989503
アメリカ一極体制をどう受け入れるか,산기정화,"東京 :中央公論新社,2003",327.73 산기정dk,https://library.cau.ac.kr/#/search/detail/5989502
政権崩壊 :永田町徒然草,백천승언,"東京 :花伝社,2008",320.953 백천승정,https://library.cau.ac.kr/#/search/detail/5989500
朝鮮戰爭 :分斷三八度線の眞實を追う,향정효전,"東京 :本放送出版協會,1990",951.731 향정효조,https://library.cau.ac.kr/#/search/detail/5989499
海軍水上特攻隊 震洋 :三浦市松輪にあった第五十六震洋隊岩館部隊の記録,상전혜지조,"東京 :元就出版社,2004",953.71 제오십해,https://library.cau.ac.kr/#/search/detail/5989498
戰爭と外交 :イラク·アメリカ·日本,산내창지,"東京 :ダイヤモンド社,2003",null,https://library.cau.ac.kr/#/search/detail/5989496
經濟危機 :21世紀システムへの道,조일신문사,"東京 :朝日新聞社,1998",330 조일신경,https://library.cau.ac.kr/#/search/detail/5989495
ソロスは警告する 2009 :恐慌へのカウントダウン,"ソロス, ジョージ","東京 :講談社,2009",332 S714aJ덕,https://library.cau.ac.kr/#/search/detail/5989494
「昭和」の履歴書,승전용부,"東京 :文藝春秋,1991",953.7 승전용소,https://library.cau.ac.kr/#/search/detail/5989493
新經濟主義宣言 =Manifesto for new economism,사도실랑,"東京 :新潮社,1994",330.1 사도실신,https://library.cau.ac.kr/#/search/detail/5989492
その年の冬,입원정추,"東京 :講談社,昭和59[1984]",813.3 입원정소,https://library.cau.ac.kr/#/search/detail/5989490
ルソンの挽歌,강기성치,"東京 :光人社,1985",813.3 강기성루,https://library.cau.ac.kr/#/search/detail/5989489
地域紛爭解決のシナリオ :ポスト冷戰時代の國連の課題,"Rupesinghe, Kumar","東京 :スリ―エ―ネットワ―ケ,1994",327.16 R945eJ길,https://library.cau.ac.kr/#/search/detail/5989488
逆命利君,좌고신,"東京 :講談社,1989(1990)",953.092 영목랑좌,https://library.cau.ac.kr/#/search/detail/5989487
「素人以上プロ未満」のための経済·金融入門 :今がわかるニュースの読み方,오십람경희,"東京 :東洋経済新報社,2007",330.0953 오십람소,https://library.cau.ac.kr/#/search/detail/5989486
ここに古代王朝ありき :邪馬一國の考古學,고전무언,"東京 :朝日新聞社,1979",953.32 고전무코,https://library.cau.ac.kr/#/search/detail/5989485
