title,writer,publication,callno,href
図解骨博士が教える「老いない体」のつくり方 :実践篇,정웅일,"東京 :ワック,2011",612.68 정웅일도,https://library.cau.ac.kr/#/search/detail/5238139
骨博士が教える「老いない体」のつくり方 :キーワードは、骨と軟骨を強くすることだ!,정웅일,"東京 :ワック,2010",612.68 정웅일골,https://library.cau.ac.kr/#/search/detail/5238138
マンガ家と作るBLポ-ズ集ラブシ-ンデッサン集,スカ-レット·ベリ子,"東京 :新書館,2011",741.5 스카렛마,https://library.cau.ac.kr/#/search/detail/5238137
(국공립대학교) 도서관 서비스 백서,임상원,"서울 :국공립대학도서관협의회,2011 -",025.5 국공립도 2011,https://library.cau.ac.kr/#/search/detail/5238080
"(マンガ家と作る)BLポーズ集.1,スーツ篇",지수유키,"東京 :新書館,2009",741.5 지수유b v.1,https://library.cau.ac.kr/#/search/detail/5236725
(骨と筋肉がわかる)人體ポ-ズ集 :動く美術解剖圖,좌등량효,"東京 :廣濟堂あかつき株式會社出版事業部,2011",741.5 좌등량골,https://library.cau.ac.kr/#/search/detail/5236724
Shape of men,창미사,"東京 :創美社,2010",741.5 창미사s,https://library.cau.ac.kr/#/search/detail/5236723
"(マンガ家と作る)BLポㅡズ集.3,朝まで一緖 篇",지수유키,"東京 :新書館,2010",741.5 지수유b v.3,https://library.cau.ac.kr/#/search/detail/5236722
瞬間連寫アクションポㅡズ :立ち回り·スタント·アクロバット,유덴 프레임 워크스,"東京 :グラフィック社,2007",757 유덴프순,https://library.cau.ac.kr/#/search/detail/5236721
茶湯一會集,정이직필,"東京 :岩波書店,2010",394.10953 정이직다,https://library.cau.ac.kr/#/search/detail/5236720
埋木舍と井伊直弼,대구보치남,"彦根 :サンライズ出版,2008",920.053 정이직대,https://library.cau.ac.kr/#/search/detail/5236719
井伊直弼の茶の湯,웅창공부,"東京 :國書刊行會,2007",394.10953 정이직웅,https://library.cau.ac.kr/#/search/detail/5236718
歐州危機の眞實 :混迷する經濟·財政の行方,고옥정미,"東京 :東洋經濟新報社,2011",330.94 고옥정구,https://library.cau.ac.kr/#/search/detail/5236319
江戶の卵は1個400円! :モノの値段で知る江戶の暮らし,환전훈,"東京 :光文社,2011",330.0953 환전훈강,https://library.cau.ac.kr/#/search/detail/5236318
大阪お芝居學 :大阪を演出した興行師たち,지전수일,"東京:新泉社,1994",792.0953 지전수대,https://library.cau.ac.kr/#/search/detail/5236317
近世地方芸能興行の硏究,죽하희구남,"大阪 :淸文堂出版,1997",792.0953 죽하희근,https://library.cau.ac.kr/#/search/detail/5236316
娛樂都市·江戶の誘惑,안등우일랑,"[東京] :PHP硏究所,2009",953.5 안등우오,https://library.cau.ac.kr/#/search/detail/5236315
江戶の繪本 :畵像とテキストの綾なせる世界,영목순,"東京:八木書店,2010.",813.309 영목순강,https://library.cau.ac.kr/#/search/detail/5236314
相模,무전조묘,"東京 :笠間書院,2011",813.1 상모무,https://library.cau.ac.kr/#/search/detail/5236313
和泉式部,고목화자,"東京 :笠間書院,2011",813.1 화천식고,https://library.cau.ac.kr/#/search/detail/5236312
和泉式部の心性と日記,대교청수,"京都 :世界思想社,2008",813.6 화천식대,https://library.cau.ac.kr/#/search/detail/5236311
和泉式部歌集の硏究,청수문웅,"東京 :笠間書院,2002",813.1 화천식청,https://library.cau.ac.kr/#/search/detail/5236310
和泉式部 :實存を見つめる,구보목수자,"東京 :新典社,2000",813.1 화천식구,https://library.cau.ac.kr/#/search/detail/5236309
北妹 =Bei mei,성가이,"天津 :天津人民,2010",812.3 성가이북,https://library.cau.ac.kr/#/search/detail/5236308
北京娃娃 =Bei Jing doll,춘수,"北京 :文化藝術,2010",812.3 춘수북,https://library.cau.ac.kr/#/search/detail/5236307
水乳,성가이,"北京 :中国工人出版社,2010",812.3 성가이수,https://library.cau.ac.kr/#/search/detail/5235614
相模集全釈,상모,"東京 :風間書房,1991",813.1 상모상,https://library.cau.ac.kr/#/search/detail/5235613
和泉式部,무전조묘,"東京 :勉誠出版,2006",813.1 화천식무,https://library.cau.ac.kr/#/search/detail/5235612
アニメ-ションの映画学,가등간랑,"京都 :臨川書店,2009",791.4334 가등간아,https://library.cau.ac.kr/#/search/detail/5234234
日韓アニメ-ションの心理分析 :出會い·交わり·閉じこもり,횡전정부,"京都 :臨川書店,2009",791.4334 횡전정일,https://library.cau.ac.kr/#/search/detail/5234233
日本文芸史 :表現の流れ,고교신효,"東京 :河出書房新社,1986-2005",811.09 고교신일 v.5/v.6,https://library.cau.ac.kr/#/search/detail/5234231
人は 感情 から老化する :前頭葉の若さを保つ習慣術,화전수수,"東京 :祥伝社,2006(2007 13刷)",616.89 화전수인,https://library.cau.ac.kr/#/search/detail/5217176
うめめ :today's happening,매가대,"東京 :リトルモア,2006",779 매가대우,https://library.cau.ac.kr/#/search/detail/5217174
じいちゃんさま,매가대,"東京 :リトルモア,2008",779 매가대지,https://library.cau.ac.kr/#/search/detail/5217173
Camera people :みんなのまち,모노그라무,"東京 :ピエ.ブックス,2008",779 모노그c,https://library.cau.ac.kr/#/search/detail/5217172
Umep,매가대,"東京 :リトルモア,2010",779 매가대u,https://library.cau.ac.kr/#/search/detail/5214725
男子,매가대,"東京 :リトルモア,2007",779 매가대남,https://library.cau.ac.kr/#/search/detail/5214724
歌舞伎から江戸を読み直す :恥と情,전구장자,"東京 :吉川弘文館,2011",792.0953 전구장가,https://library.cau.ac.kr/#/search/detail/5208200
絵で読む歌舞伎の歴史,복부행웅,"東京 :平凡社,2008",792.0953 복부행회,https://library.cau.ac.kr/#/search/detail/5208199
家有儿女,류립신,"北京 :世界图书出版公司北京公司,2009-2010",412.85 류립신가 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5196102
空の記憶 :新海誠美術作品集 =The sky of the longing for memories,신해성,"東京 :講談社,2008",741.5953 신해성공,https://library.cau.ac.kr/#/search/detail/5194012
宮本百合子の時空,암연굉자,"東京 :翰林書房,2001",813.092 궁본백암,https://library.cau.ac.kr/#/search/detail/5194011
いまに生きる宮本百合子,이두리언,"東京:新日本出版社,2004",813.092 궁본백이,https://library.cau.ac.kr/#/search/detail/5194010
病気と薬パーフェクトBOOK,남산당,"東京 :南山堂,2008-",R 615.4 남산당병 2010/2011,https://library.cau.ac.kr/#/search/detail/4832270
近代日蘇關係の硏究,조선총독부 중추원,"京城 :朝鮮總督府 中樞院,1940",327.51053 조선총근 v.1/v.2,https://library.cau.ac.kr/#/search/detail/291499
日本醫藥品集 :醫療藥 /日本醫藥情報センタ- 編,日本醫藥情報センタ－,"東京 :藥業時報社 :Jiho,1978-",R 615.1153 일본의일 2011 별책/2012/2012 별책,https://library.cau.ac.kr/#/search/detail/51015
日本醫藥品集 :一般藥 /日本醫藥情センタ- 編,日本醫藥情報センタ－,"東京, 日本 :藥業時報社,c1994-",R 615.1153 일본의일일 2012-2013,https://library.cau.ac.kr/#/search/detail/16143
A practical approach to motor vehicle engineering and maintenance,"Bonnick, Allan W. M",Amsterdam,629.23 B718p3,https://library.cau.ac.kr/#/search/detail/5240903
"Losing my virginity :how I survived, had fun, and made a fortune doing business my way","Branson, Richard","New York :Crown Business,[2011].",338.04092 B821L,https://library.cau.ac.kr/#/search/detail/5240215
Kittler and the media,"Winthrop-Young, Geoffrey","Cambridge, UK",302.23 W793k,https://library.cau.ac.kr/#/search/detail/5240214
ESD :design and synthesis,"Voldman, Steven H","Chichester, West Sussex, U.K. :Wiley,2011.",621.38152 V914e,https://library.cau.ac.kr/#/search/detail/5239910
Wireless communications over rapidly time-varying channels,"Hlawatsch, F","Oxford, UK",621.384 H677w,https://library.cau.ac.kr/#/search/detail/5239909
Fiber-optic communication systems with cd,"Agrawal, G. P","New York :Wiley,2010.",621.38275 A277f4,https://library.cau.ac.kr/#/search/detail/5239908
The retina and its disorders,"Besharse, Joseph C",Amsterdam,617.735 B554r,https://library.cau.ac.kr/#/search/detail/5239906
Policy analysis,"Weimer, David Leo","Boston :Longman,c2011.",320.6 W422p5,https://library.cau.ac.kr/#/search/detail/5239905
The good society :an introduction to comparative politics,"Draper, Alan","Boston :Longman,c2012.",320.3 D765g2,https://library.cau.ac.kr/#/search/detail/5239903
4G LTE/LTE-advanced for mobile broadband,"Dahlman, Erik","London :Academic,c2011.",621.38456 D131f,https://library.cau.ac.kr/#/search/detail/5239902
