title,writer,publication,callno,href
陽だまりの彼女,월곡오사무,"東京 :新潮社,2011",813.3 월곡오양,https://library.cau.ac.kr/#/search/detail/6098146
しをんのしおり,삼포시온,"東京 :新潮社,2005",813.3 삼포시시,https://library.cau.ac.kr/#/search/detail/6098145
怨霊と鎮魂の日本芸能史,정택원언,"東京 :檜書店,2008",792.0953 정택원원,https://library.cau.ac.kr/#/search/detail/6098144
フーコーの美学 :生と芸術のあいだで,무전주야,"京都 :人文書院,2014",194 무전주푸,https://library.cau.ac.kr/#/search/detail/6098143
世阿弥,평범사,"東京 :平凡社,2010",792.0953 평범사세평,https://library.cau.ac.kr/#/search/detail/6098142
崔溥漂海錄校注,"Park, Won-ho","上海 :上海書店,2013.",812.8 P236최,https://library.cau.ac.kr/#/search/detail/6097789
明治演劇史,도변보,"東京 :講談社,2012",792.0953 도변보명,https://library.cau.ac.kr/#/search/detail/6097679
債務共和国の終焉 :わたしたちはいつから奴隷になったのか,시전량언,"東京 :河出書房新社,2013",330.122 시전량채,https://library.cau.ac.kr/#/search/detail/6097678
存在論的政治 :反乱·主体化·階級闘争,시전량언,"東京 :航思社,2014",320.01 시전량존,https://library.cau.ac.kr/#/search/detail/6097677
能樂大事典,소림책,"東京 :筑摩書房,2012",R 792.0953 소림책능,https://library.cau.ac.kr/#/search/detail/6097676
"西脇順三郎 コレクション.5,評論集 2",서협순삼랑,"東京 :慶應義塾大学出版会,2007",813 서협순 v.5,https://library.cau.ac.kr/#/search/detail/6097675
"西脇順三郎 コレクション.4,評論集 1",서협순삼랑,"東京 :慶應義塾大学出版会,2007",813 서협순비 v.4 n.1,https://library.cau.ac.kr/#/search/detail/6097674
大學改革と大學の自治,도변양삼,"東京 :日本平論社,1971",378.1 도변양대,https://library.cau.ac.kr/#/search/detail/6097608
自然立地的土地利用計劃,정수구자,"東京 :東京大學出版會,1985.",333.7 정수구자,https://library.cau.ac.kr/#/search/detail/6097606
日本·中国からみた朝鮮半島問題 :中国復旦大学·島根県立大学合同シンポジウム :学術交流協定締結記念,우야중소,"東京 :国際書院,2007",320.953 우야중일,https://library.cau.ac.kr/#/search/detail/6097603
世界に飛躍する韓國産業 :そのパワ-の源泉を探る,야촌총합연구,"東京 :野村總合硏究所,昭和63[1988]",338.951 야촌총세,https://library.cau.ac.kr/#/search/detail/6097595
協同組合論,송촌선사랑,"東京 :未來社,1972",324.2 송촌선협,https://library.cau.ac.kr/#/search/detail/6097566
韓國農村の家族と祭儀,중근천지,"東京 :東京大學出版會,1973",307.720951 중근천한,https://library.cau.ac.kr/#/search/detail/6097565
農民層の分解,면곡규부,"東京 :농림통계협회,1979",953 면곡규농,https://library.cau.ac.kr/#/search/detail/6097564
成長過程 の 經濟政策,천구홍,"東京 :中央經濟社,1965",338.9 천구홍성,https://library.cau.ac.kr/#/search/detail/6097563
日本の朝鮮文化 :座談會,사마료태랑,"東京 :中央公論社,1998",306.0952 사마료일,https://library.cau.ac.kr/#/search/detail/6097562
地域經濟の構想,청성충남,"東京 :學陽書房,1984",330.3 청성충지,https://library.cau.ac.kr/#/search/detail/6097561
日韓經濟摩擦 :韓國エコノミストとの論爭,송본후치,"東京 :東洋經濟新報社,昭和61[1986]",330.953 송본후일,https://library.cau.ac.kr/#/search/detail/6097560
經濟史槪說,굴강보장,"東京 :有斐閣,昭和48[1973].",330.9 굴강보경,https://library.cau.ac.kr/#/search/detail/6097559
昭和經濟史,안등량웅,"東京 :日本經濟新聞社,1994",330.953 안등량소 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6097558
高齡者の勞動經濟學 :企業·政府の 制度改革,청가독,"東京 :日本經濟新聞社,1992.",331.544 청가독고,https://library.cau.ac.kr/#/search/detail/6097557
浮世絵図鑑 :江戸文化の万華鏡,안촌민신,"東京 :平凡社,2014",759.953 안촌민부,https://library.cau.ac.kr/#/search/detail/6096975
国芳の春画,백창경언,"東京 :平凡社,2012",759.13 백창경국,https://library.cau.ac.kr/#/search/detail/6096974
弓道 :その歴史と技法,송미목칙,"東京 :日本武道館,2013",799.32 송미목궁,https://library.cau.ac.kr/#/search/detail/6096973
朴利道詩集,박리도,"東京 :土曜美術社出版販?,2013.",811.1 박리도박,https://library.cau.ac.kr/#/search/detail/6092677
東アジアの比較民俗論考 :龍宮·家族·村落をめぐって,죽전단,Japan,398.095 죽전단동,https://library.cau.ac.kr/#/search/detail/6092676
芥川龍之介の遺書,조사옥,"東京 :新教出版社,2001",813.092 개천룡조,https://library.cau.ac.kr/#/search/detail/6092675
中国文化年鉴 =Almanac of Chinese culture.2012,중화인민공화국,"北京 :新华出版社,2013",R 306.0952 중화인중 2012,https://library.cau.ac.kr/#/search/detail/6092620
北京公共文化服务体系与惠民工程建设,이건성,"北京 :知识产权出版社,2013",306.0952 이건성북,https://library.cau.ac.kr/#/search/detail/6092619
国家公共文化服务体系论,왕렬생,"北京 :文化艺术出版社,2009",306.0952 왕렬생국,https://library.cau.ac.kr/#/search/detail/6092618
"キャラに生命 (いのち) を吹き込むイラスト上達テクニック.3,妄想力アップ編",toshi,"東京 :エムディエヌコーポレーション,2014",741.6 T714캐 v.3,https://library.cau.ac.kr/#/search/detail/6092617
解錠師,"Hamilton, Steve","東京 :早川書房,2011",823 H221L월,https://library.cau.ac.kr/#/search/detail/6092616
アーツ·マネジメント概論,소림진리,"東京 :水曜社,2009",706.8 소림진아 2009,https://library.cau.ac.kr/#/search/detail/6092615
中世の秋,"Huizinga, Johan","東京 :中央公論新社,2001",944.025 H911h굴 v.1,https://library.cau.ac.kr/#/search/detail/6092614
母をお願い,신경숙,"東京 :集英社,2011",811.3 신경숙엄안,https://library.cau.ac.kr/#/search/detail/6092613
日本の都市づくり :60プロジェクトによむ,일본도시계획학회,"東京 :朝倉書店,2011",711.40953 일본도일,https://library.cau.ac.kr/#/search/detail/6092612
自動車メカニズム圖鑑 =Car mechanism illustrated,출사충명,"東京 :グランプリ出版,1985(1987)",629.2 출사충자 1985,https://library.cau.ac.kr/#/search/detail/6092087
新化粧品学,광정무부,"東京 :南山堂,2001",668.55 광정무신2,https://library.cau.ac.kr/#/search/detail/6091108
責任と判断,"Arendt, Hannah","東京 :筑摩書房,2007",172 A681rJ중,https://library.cau.ac.kr/#/search/detail/6091107
現代農村計劃論,부전정언,"東京 :東京大學出版會,1994.",null,https://library.cau.ac.kr/#/search/detail/6090997
協同組合槪論,서산구덕,"東京 :博文社,1966",334 서산구협,https://library.cau.ac.kr/#/search/detail/269048
The nurture assumption :why children turn out the way they do,"Harris, Judith Rich","New York, N.Y.:Free Press,2009.",305.231 H314n2,https://library.cau.ac.kr/#/search/detail/6233751
Breaking hearts :two sides of unrequited love,"Baumeister, Roy F","New York :Guilford Press,1992.",152.41 B347b,https://library.cau.ac.kr/#/search/detail/6184450
"Buddies :reading, writing, and math lessons","Powell, Pia Hansen","Larchmont :Eye On Education,2001.",372.1394 P885b,https://library.cau.ac.kr/#/search/detail/6184409
The economics of earnings,"Polachek, S. W",Cambridge,331.21 P762e,https://library.cau.ac.kr/#/search/detail/6097830
PLAB :1000 extended matching questions,"Coales, Una F","London :Royal Society of Medicine Press,2011.",610 C652p,https://library.cau.ac.kr/#/search/detail/6097829
East Asian cinemas :regional flows and global transformations,"Lee, Vivian P. Y","Houndmills, Basingstoke, Hampshire",791.43095 L481e,https://library.cau.ac.kr/#/search/detail/6097828
Perfumery :practice and principles,"Calkin, Robert R","New York :John Wiley & Sons,1994.",668.54 C155p,https://library.cau.ac.kr/#/search/detail/6097827
Fortran 90/95 explained,"Metcalf, Michael",Oxford,005.262 M588f2,https://library.cau.ac.kr/#/search/detail/6097826
Markets on trial :the economic sociology of the US financial crisis.pt. B,"Lounsbury, Michael","Bingley :Emerald,2010.",306.3 L889m pt. B,https://library.cau.ac.kr/#/search/detail/6097825
"Es war einmal :Prosa aus der Berner Zeit, 1927-1928","Walser, Robert","Zürich :Suhrkamp,1986.",838 W222e,https://library.cau.ac.kr/#/search/detail/6097824
Jakob von Gunten :ein Tagebuch,"Walser, Robert","Zürich :Suhrkamp,1985.",833 W222ja,https://library.cau.ac.kr/#/search/detail/6097823
Geschichten,"Walser, Robert","Zürich :Suhrkamp,1985.",833 W222gc,https://library.cau.ac.kr/#/search/detail/6097822
"Für die Katz :Prosa aus der Berner Zeit, 1928-1933","Walser, Robert","Zürich :Suhrkamp,1986.",838 W222f,https://library.cau.ac.kr/#/search/detail/6097821
Der Gehülfe :Roman,"Walser, Robert","Zürich :Suhrkamp,1985.",833 W222gs,https://library.cau.ac.kr/#/search/detail/6097820
"Träumen :Prosa aus der Berliner Zeit, 1913-1920","Walser, Robert","Zürich :Suhrkamp,1985.",838 W222t,https://library.cau.ac.kr/#/search/detail/6097819
Poetenleben,"Walser, Robert","Zürich :Suhrkamp,1986.",833 W222p,https://library.cau.ac.kr/#/search/detail/6097818
"Bedenkliche Geschichten :Prosa aus der Berliner Zeit, 1906-1912","Walser, Robert","Zürich :Suhrkamp,1985.",838 W222b,https://library.cau.ac.kr/#/search/detail/6097817
Der Spaziergang,"Walser, Robert","Zürich :Suhrkamp,1985.",838 W222s,https://library.cau.ac.kr/#/search/detail/6097816
Fritz Kochers Aufsätze,"Walser, Robert","Zürich :Suhrkamp,1986.",833 W222f,https://library.cau.ac.kr/#/search/detail/6097815
Die Rose,"Walser, Robert","Zürich :Suhrkamp,1986.",833 W222ro,https://library.cau.ac.kr/#/search/detail/6097814
Der Räuber :Roman,"Walser, Robert","Zürich :Suhrkamp,1986.",833 W222r,https://library.cau.ac.kr/#/search/detail/6097813
Komödie :Märchenspiele und szenische Dichtungen,"Walser, Robert","Zürich :Suhrkamp,1986.",832 W222k,https://library.cau.ac.kr/#/search/detail/6097812
Seeland,"Walser, Robert","Zürich :Suhrkamp,1985.",833 W222se,https://library.cau.ac.kr/#/search/detail/6097811
Geschwister Tanner:Roman,"Walser, Robert","Zürich :Suhrkamp,1986.",833 W222ge,https://library.cau.ac.kr/#/search/detail/6097810
Aufsätze,"Walser, Robert","Zürich :Suhrkamp,1985.",833 W222a,https://library.cau.ac.kr/#/search/detail/6097809
Die Gedichte,"Walser, Robert","Zürich :Suhrkamp,1986.",831 W222g,https://library.cau.ac.kr/#/search/detail/6097808
Zarte Zeilen :Prosa aus der Berner Zeit 1926,"Walser, Robert","Zürich :Suhrkamp,1986.",838 W222z,https://library.cau.ac.kr/#/search/detail/6097807
Der Gehülfe :Roman,"Walser, Robert","Berlin :Suhrkamp,2010.",833 W222g,https://library.cau.ac.kr/#/search/detail/6097806
Mikrogramme,"Walser, Robert","Berlin :Suhrkamp,2011.",838 W222m,https://library.cau.ac.kr/#/search/detail/6097805
A pigsty happiness,"Kim, Jaihiun","Charleston, Ill. :Prairie Press Books,1973.",821 K49a,https://library.cau.ac.kr/#/search/detail/6097794
Sports relations in East Asia :Theory and Practice,"Kwon, Soyoung","Seoul : :International Sports Relations Foundation,2014.",659.29796 K98s,https://library.cau.ac.kr/#/search/detail/6097790
Labor situation in Japan and its analysis :general overview.2013/2014,Japan Institute for Labour Policy and Training,"Tokyo :Japan Institute for Labour Policy and Training,2014.",331.0952 J35L 2013-2014,https://library.cau.ac.kr/#/search/detail/6097709
Conflictos y afectos en la literatura mexicana :colección de ensayos,"Popovic Karic, Pol","[Monterrey, Mexico] :Tecnológico de Monterrey",860.9 P829c,https://library.cau.ac.kr/#/search/detail/6097650
"Julio Cortázar :perspectivas críticas, ensayos inéditos","Popovic Karic, Pol","México :Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Monterrey :Miguel Angel Porrúa,2012.",863 P829j,https://library.cau.ac.kr/#/search/detail/6097649
Die Schriften der Bibel : Entstehung und Botschaft / von Siegfried Herrmann und Walter Klaiber,"Herrmann, Siegfried","Stuttgart :Dt. Bibelges.,1996",220 H568s,https://library.cau.ac.kr/#/search/detail/6097648
BMW :eine deutsche Geschichte in Bildern,"Mönnich, Horst","München ; Zürich :Piper,2000",943 M749b,https://library.cau.ac.kr/#/search/detail/6097647
"Telekommunikationstechnik, Fachbildung",Horst Jansen,"Haan-Gruiten :Verl. Europa-Lehrmittel,1995",621.382 H819t6,https://library.cau.ac.kr/#/search/detail/6097646
"Elektrische Vorschubantriebe in der Automatisierungstechnik: Grundlagen, Berechnung, Bemessung","Gross, H","Erlangen :Siemens,2000",621.3 G878e,https://library.cau.ac.kr/#/search/detail/6097645
Licht und Beleuchtung :Theorie und Praxis der Lichttechnik,Hans J Hentschel,"Heidelberg :Hüthig,1994.",621.32 H249L4,https://library.cau.ac.kr/#/search/detail/6097644
