title,writer,publication,callno,href
樋口一葉論への射程,고전지파,"東京 :雙文社出版,1997",813.09 통구일고,https://library.cau.ac.kr/#/search/detail/5416718
フェミニズム批評への招待 :近代女性文學を讀む,암연굉자,"東京 :學藝書林,1995",813.09 암연굉페,https://library.cau.ac.kr/#/search/detail/5416717
樋口一葉を読みなおす,일본문학협회,"東京 :學藝書林,1994",813.09 통구일일,https://library.cau.ac.kr/#/search/detail/5416716
大江健三郞·再發見,대강건삼랑,"東京 :集英社,2001",813.09 대강건대,https://library.cau.ac.kr/#/search/detail/5416715
座談會昭和文學史.第6卷,정상히사시,"東京 :集英社,2004",813.09 정상히좌 v.6,https://library.cau.ac.kr/#/search/detail/5416714
大江健三郞,도변광사,"東京 :審美社,1994",813.09 대강건도 1994,https://library.cau.ac.kr/#/search/detail/5416713
大江健三郞論 :「狂氣」と「救濟」を軸にして,"Klawploadtook, Woraluck","東京 :專修大學出版局,2007",813.09 대강건k,https://library.cau.ac.kr/#/search/detail/5416712
大江健三郞 :その文學世界と背景,일조효부,"大阪 :和泉書院,1997",813.09 대강건일,https://library.cau.ac.kr/#/search/detail/5416711
カキフライが無いなら來なかった,세키시로,"東京 :幻冬舍,2009",813 세키시구,https://library.cau.ac.kr/#/search/detail/5416710
World landscape contemporary selected projects 10x100.2,석형,"武漢 :華中科技大學,2011",712 석형w,https://library.cau.ac.kr/#/search/detail/5405979
Top 101 world's new buildings =101世界最佳新建築,가도문화,"南京 :江蘇人民出版社,2011도",720.284 가도문t,https://library.cau.ac.kr/#/search/detail/5405978
モンスターハンターイラストレーションズ =Monster hunter illustrations,캡콤,"大阪 :カプコン,2008",794.8 캡콤모 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5404581
(図解)戦国史 :一冊でわかるイラストでわかる : オールカラー超ビジュアル!すぐわかる100テーマ,성미당출판편집부,"東京 :成美堂出版,2009",953.44 성미당전,https://library.cau.ac.kr/#/search/detail/5404577
ひとりでうまく巻けるテーピング·メソッド,증아무사,"東京 :高橋書店,2005",615.82 증아무히,https://library.cau.ac.kr/#/search/detail/5404576
まさかジープで来るとは,세키시로,"東京 :幻冬舎,2010",813.082 세키시마,https://library.cau.ac.kr/#/search/detail/5404503
