title,writer,publication,callno,href
经济学原理 :含习题集 =Principles of economics : problem book included,양소개,"北京 :社会科学文献出版社,2018",330 양소개경,https://library.cau.ac.kr/#/search/detail/9082009
发展经济学 :超边际与边际分析,"Sachs, Jeffrey","北京 :社会科学文献出版社,2018",338.9 S121d장,https://library.cau.ac.kr/#/search/detail/9082008
经济控制论初步 =(An) introduction to economic cybernetics,양소개,"北京 :社会科学文献出版社,2018",330.0151 양소개경,https://library.cau.ac.kr/#/search/detail/9082004
数理经济学基础 =(An) introduction to mathematical economics,양소개,"北京 :社会科学文献出版社,2018",330.0151 양소개수,https://library.cau.ac.kr/#/search/detail/9082003
新兴古典经济学与超边际分析 =New classical economics and inframarginal analysis,양소개,"北京 :社会科学文献出版社,2018",330.157 양소개신2,https://library.cau.ac.kr/#/search/detail/9082002
专业化与经济组织 :一种新兴古典微观经济学框架,양소개,"北京 :社会科学文献出版社,2018",338.5 양소개s장,https://library.cau.ac.kr/#/search/detail/9081998
基于专业化递增报酬的分工理论 :一种微观经济学方法 =(A) microeconomic approach to modeling the division of labor based on increasing returns to specialization,양소개,"北京 :社会科学文献出版社,2018",338.6 양소개기,https://library.cau.ac.kr/#/search/detail/9081996
经济控制理论 =Economic cybernetics,양소개,"北京 :社会科学文献出版社,2018",330.0115 양소개경,https://library.cau.ac.kr/#/search/detail/9081994
「君の名は。」で古文·和歌の読み方が面白いほどわかる本,도부태명,"東京 :KADOKAWA,2017",813.3 신해성군도,https://library.cau.ac.kr/#/search/detail/9079708
シュナの旅,궁기준,"東京 :徳間書店,1983(2017 86刷)",741.5953 궁기준시,https://library.cau.ac.kr/#/search/detail/9079349
ネパール国立公文書館所蔵梵文法華経写本 (no. 5-144) :ローマ字版 =Sanskrit Lotus Sutra Manuscript from the national archives of Nepal (no. 5-144) : romanized text,소규청명,"東京 :創価学会 :東洋哲学研究所,2017",294.382 소규청네,https://library.cau.ac.kr/#/search/detail/9077554
復仇觀的省察與詮釋.宋元明清編,이융헌,"臺北 :國立臺灣大學出版中心,2015",952.47 이융헌복,https://library.cau.ac.kr/#/search/detail/9077259
マンガでわかる仏像 :仏像の世界がますます好きになる!,삼택구웅,"東京 :誠文堂新光社,2014(2017 8刷)",294.3437 삼택구마,https://library.cau.ac.kr/#/search/detail/9077222
日韓インディペンデント映画の形成と発展 :映画産業に対する政府の介入,정인선,"東京 :せりか書房,2017",791.430953 정인선일,https://library.cau.ac.kr/#/search/detail/9076776
醒睡笑 :全訳注,안락암책전,"東京 :講談社,2014(2018 4刷)",813.3 안락암성,https://library.cau.ac.kr/#/search/detail/9076746
阳台上 =On the balcony,임효문,"北京 :北京十月文艺出版社,2018",812.3 임효문양,https://library.cau.ac.kr/#/search/detail/9076736
迟来的告白 :我和我妈妈,황혜정,"南昌 :百花洲文艺出版社,2018",812.8 황혜정지,https://library.cau.ac.kr/#/search/detail/9076735
好人宋没用,임효문,"北京 :北京十月文艺出版社,2017(2018 4刷)",812.3 임효문호,https://library.cau.ac.kr/#/search/detail/9076734
雅思口语真经999 =IELTS,파비,"北京 :中国人民大学出版社,2016",428.0076 파비아,https://library.cau.ac.kr/#/search/detail/9076283
无忧雅思听力机经超详解 =IELTS listening,무우아사망은력궤경연구조 (중국),"北京 :机械工业出版社,2014(2015 2刷)",428.0076 무우아무 2014,https://library.cau.ac.kr/#/search/detail/9076281
9分达人雅思阅读真题还原及解析.5,신항도아사연발중심 (중국),"北京 :世界知识出版社,2017(2018 6刷)",428.0076 구분체 v.5,https://library.cau.ac.kr/#/search/detail/9076279
考拉小巫的英语学习日记 =Koala's notes :写给为梦想而奋斗的人,고랍소무,"武汉 :武汉出版社,2017",428 고랍소고2,https://library.cau.ac.kr/#/search/detail/9076277
"マンガでわかる!10才までに覚えたい言葉1000 :難しい言葉·ことわざ·慣用句·四字熟語·故事成語·カタカナの言葉,レベルアップ編",고빈정신,"東京 :永岡書店,2017",413.4 고빈정마레,https://library.cau.ac.kr/#/search/detail/9076244
マンガでわかる!10才までに覚えたい言葉1000 :難しい言葉·ことわざ·慣用句·四字熟語·故事成語·カタカナの言葉,고빈정신,"東京 :永岡書店,2016",413.4 고빈정마,https://library.cau.ac.kr/#/search/detail/9076243
"日本語を翻訳するということ :失われるもの, 残るもの",목야성일,"東京 :中央公論新社,2018",413.802 목야성일,https://library.cau.ac.kr/#/search/detail/9076242
新·わくわく文法リスニング100 :耳で学ぶ日本語 =Mastering Japanese by ear :英語·中国語·ベトナム語付き,소림전자,"東京 :凡人社,2017(2018 2刷)",413.82 소림전신 v.1/v.2,https://library.cau.ac.kr/#/search/detail/9076240
雅思写作真经总纲 =IELTS writing,유홍파,"北京 :中国人民大学出版社,2017(2018 4刷)",428.0076 유홍파아w 2017,https://library.cau.ac.kr/#/search/detail/9076019
通典,두우,"北京 :中华书局,2016(2018 3刷)",952 두우통 v.1/v.10/v.11/v.12/v.2/v.3/v.4/v.5/v.6/v.7/v.8/v.9,https://library.cau.ac.kr/#/search/detail/9076003
顾家北手把手教你雅思词伙 =IELTS,고가북,"北京 :中国人民大学出版社,2017(2018 10刷)",428.0076 고가북고2,https://library.cau.ac.kr/#/search/detail/9075967
雅思王听力真题速成 =IELTS :机考笔试综合版,왕륙,"北京 :中国人民大学出版社,2016(2018 5刷)",428.0076 왕륙아궤3,https://library.cau.ac.kr/#/search/detail/9075965
雅思口语观点库 =Ideas for IELTS speaking,전다다,"北京 :中国人民大学出版社,2016(2018 6刷)",428.0076 전다다아 2016,https://library.cau.ac.kr/#/search/detail/9075963
十天突破雅思写作 =Pat's ten-day step-by-step guide to the IELTS writing test :剑13版,신소의,"北京 :机械工业出版社,2018",428.0076 신소의십사 2018/2018 별책1/2018 별책2,https://library.cau.ac.kr/#/search/detail/9075962
十天突破雅思口语 =Pat's ten-day step-by-step guide to the speaking test :剑13版,신소의,"北京 :机械工业出版社,2018",428.0076 신소의십 2018/2018 별책,https://library.cau.ac.kr/#/search/detail/9075961
最新雅思阅读真经总纲 =ELTS reading :机考笔试综合版,유홍파,"北京 :中国人民大学出版社,2017(2018 7刷)",428.0076 유홍파아2,https://library.cau.ac.kr/#/search/detail/9075696
問題な日本語.その4,북원보웅,"東京 :大修館書店,2011",413 북원보문 v.4,https://library.cau.ac.kr/#/search/detail/9075590
经济的假象 =(The) illusion of economy :财经热点背后精准金融解析,하강병,"北京 :中华工商联合出版社,2017",332.0952 하강병경,https://library.cau.ac.kr/#/search/detail/9075573
大都市 :空间与记忆,"Hertmans, Stefan","北京 :北京大学出版社,2018",839.318 H574s장,https://library.cau.ac.kr/#/search/detail/9075572
新城市前沿 :士绅化与恢复失地运动者之城,"Smith, Neil","南京 :译林出版社,2018",307.76 S655n이,https://library.cau.ac.kr/#/search/detail/9075571
"不迷路, 不东京",서근,"北京 :东方出版社,2018",812.4 서근부,https://library.cau.ac.kr/#/search/detail/9075569
凯恩斯的中国聚会 :经济学的那些人和事,서근,"上海 :上海三联书店,2015",330.092 서근개,https://library.cau.ac.kr/#/search/detail/9075568
かなりや,수고명,"東京 :ポプラ社,2013",813.3 수고명카,https://library.cau.ac.kr/#/search/detail/9075507
中心のある家,아부근,"東京 :復刊ドットコム,2016",728 아부근중,https://library.cau.ac.kr/#/search/detail/9074662
Word/Excel/PPT 2016商务办公从入门到精通,장천,"北京 :清华大学出版社,2018",005.5 장천w,https://library.cau.ac.kr/#/search/detail/9073981
"中國, 潰而不崩",하청련,"新北 :八旗文化,2017(2018 9刷)",952.8 하청련중,https://library.cau.ac.kr/#/search/detail/9073759
"MT complete book :all limited tapes, events and posters",거산호이,"東京 :PIE :パイインターナショナル,2018",745 거산호m,https://library.cau.ac.kr/#/search/detail/9073152
美国城市社会的演变,"Chudacoff, Howard P","上海 :上海社会科学院出版社,2016",307.760973 C559e7웅,https://library.cau.ac.kr/#/search/detail/9073060
世界土地所有制变迁史,"Linklater, Andro","上海 :上海社會科學院出版社,2016",333.309 L756o계,https://library.cau.ac.kr/#/search/detail/9073059
紧缩城市 :一种可持续发展的城市形态,"Jenks, M","北京 :中国建筑工业出版社,2004(2016 4刷)",307.76 J53c주,https://library.cau.ac.kr/#/search/detail/9073058
贤能政治 :为什么尚贤制比选举民主制更适合中国,"Bell, Daniel","北京 :中信出版集团股份有限公司,2016(2018 3刷)",306.20952 B433ch오,https://library.cau.ac.kr/#/search/detail/9073047
规划研究方法手册,"Silva, Elisabete A","北京 :中国建筑工业出版社,2016",307.1216 S586r고,https://library.cau.ac.kr/#/search/detail/9073044
城市理论 :对21世纪权力、城市和城市主义的批判性介绍,"Harding, Alan","北京 :社会科学文献出版社,2016",307.76 H263u왕,https://library.cau.ac.kr/#/search/detail/9073043
基于大数据的城市研究与规划方法创新,견봉,"北京 :中国建筑工业出版社,2015(2016 3刷)",307.3416 견봉기,https://library.cau.ac.kr/#/search/detail/9073042
英国城市更新,"Tallon, Andrew","上海 :同济大学出版社,2017(2018 2刷)",307.34160941 T149u2양,https://library.cau.ac.kr/#/search/detail/9073041
王朝的家底 :从经济学角度看中国历史,파음,"北京 :群言出版社,2016(2017 4刷)",330.952 파음왕,https://library.cau.ac.kr/#/search/detail/9073039
解读日本城市规划 :60年获奖实例回顾,적국방,"北京 :中国建筑工业出版社,2017",711.40953 일본도일적,https://library.cau.ac.kr/#/search/detail/9072957
城市与区域规划实用模型,곽지공,"北京 :北京大学出版社,2014",307.12160952 곽지공성,https://library.cau.ac.kr/#/search/detail/9072941
中国城市密码,"Hassenpflug, Dieter","北京 :清华大学出版社,2018",307.12160952 H355u동,https://library.cau.ac.kr/#/search/detail/9072939
売茶翁の生涯 =The life of Baisaō,"Waddell, Norman","京都 :思文閣出版,2016",813.1 원소w통,https://library.cau.ac.kr/#/search/detail/9072880
徽宗『大観茶論』の研究,웅창공부,"京都 :宮帯出版社,2017",394.15 웅창공휘,https://library.cau.ac.kr/#/search/detail/9072879
中世の喫茶文化 :儀礼の茶から「茶の湯」へ,교본소자,"東京 :吉川弘文館,2018",394.10953 교본소중,https://library.cau.ac.kr/#/search/detail/9072878
香道の美学 :その成立と王権·連歌,빈기가내자,"京都 :思文閣出版,2017",391.630953 빈기가향,https://library.cau.ac.kr/#/search/detail/9072877
香の本,적수소대,"東京 :雄山閣,平成29[2017]",391.630953 적수소향2,https://library.cau.ac.kr/#/search/detail/9072875
庭園の中世史 :足利義政と東山山荘,비전범부,"東京 :吉川弘文館,2006",712.60953 비전범정,https://library.cau.ac.kr/#/search/detail/9070373
芭蕉文集,송미파초,"東京 :岩波書店,1940(2017 5刷)",813.4 송미파영,https://library.cau.ac.kr/#/search/detail/9070370
源平盛衰記.7,구보전순,"東京 :三弥井書店,平成27[2015]",813.3 원평성 v.7,https://library.cau.ac.kr/#/search/detail/9070369
復仇觀的省察與詮釋.先秦兩漢魏晉南北朝隋唐編,이융헌,"臺北 :國立臺灣大學出版中心,2012",952.2 이융헌복,https://library.cau.ac.kr/#/search/detail/9070293
日本災害史,북원사자,"東京 :吉川弘文館,2006(2012 4刷)",363.34 북원사일,https://library.cau.ac.kr/#/search/detail/9070284
日本震災史 :復旧から復興への歩み,북원사자,"東京 :筑摩書房,2016",363.3495 북원사일,https://library.cau.ac.kr/#/search/detail/9070283
「役割語」小辞典,김수민,"東京 :研究社,2014",413.7 김수민역연,https://library.cau.ac.kr/#/search/detail/9070147
役割語研究の地平,김수민,"東京 :くろしお出版,2007(2018 3刷)",413.7 김수민역쿠,https://library.cau.ac.kr/#/search/detail/9070146
役割語研究の展開,김수민,"東京 :くろしお出版,2011(2018 3刷)",413.7 김수민역,https://library.cau.ac.kr/#/search/detail/9070145
"紥根臺灣六十年 :百萬人的奮鬥, 成長, 融合",장옥법,"臺北 :渤海堂,2009",952.93 장옥법찰 v.1/v.2/v.3/v.4/v.5,https://library.cau.ac.kr/#/search/detail/9070026
最後的黃埔 =The last of the Whampoa Breed :老兵與離散的故事,제방원,"臺北 :麥田出版,2004(2007 5刷)",812.3 제방원최,https://library.cau.ac.kr/#/search/detail/9070022
"人生, 從那岸到這岸 :外省媽媽書寫誌",요운장,"臺北 :INK印刻出版社,2006",920.05293 요운장인,https://library.cau.ac.kr/#/search/detail/9070019
臺北縣眷村調查研究,하사미,"臺北 :臺北縣政府文化局,2001",355.12095293 하사미대,https://library.cau.ac.kr/#/search/detail/9070015
ゆる妖怪カタログ,요괴문화연구회 (일본),"東京 :河出書房新社,2015",398.250953 요괴문유,https://library.cau.ac.kr/#/search/detail/9069796
美国经典小说的跨媒介改编与文化阐释,모능형,"北京 :科学出版社,2018",823.09 모능형미,https://library.cau.ac.kr/#/search/detail/9069282
李贄全集注,이지,"北京 :社会科学文献出版社,2010",181.235 이지장사 v.9,https://library.cau.ac.kr/#/search/detail/9068893
(意思決定を助ける) 情報可視化技術 :ビッグデータ·機械学習·VR/ARへの応用,이등귀지,"東京 :コロナ社,2018",001.4226 이등귀정,https://library.cau.ac.kr/#/search/detail/9068823
Pythonで学ぶあたらしい統計学の教科書,마장진재,"東京 :翔泳社,2018",519.50285 마장진p,https://library.cau.ac.kr/#/search/detail/9068822
現場で使える!TensorFlow開発入門 :Kerasによる深層学習モデル構築手法,태전만구,"東京 :翔泳社,2018",006.31 태전만현,https://library.cau.ac.kr/#/search/detail/9068821
(フリーソフトではじめる) 機械学習入門 :Python/Wekaで実践する理論とアルゴリズム,황목아홍,"東京 :森北出版,2018",006.31 황목아기2,https://library.cau.ac.kr/#/search/detail/9068820
Scikit‐learnとTensorFlowによる実践機械学習,"Géron, Aurélien","東京 :オライリー·ジャパン,2018",006.31 G377h장,https://library.cau.ac.kr/#/search/detail/9068819
DraftSightできちんと機械製図ができるようになる本 :DraftSight 2018/2017対応,길전유미,"東京 :エクスナレッジ,2018",620.00420285 길전유d,https://library.cau.ac.kr/#/search/detail/9068818
やさしいPython,고교마내,"東京 :SBクリエイティブ,2018",005.133 고교마야p,https://library.cau.ac.kr/#/search/detail/9068817
