title,writer,publication,callno,href
やさしい排句入門,송정이언,"東京 :日本文學社,1986",813.12 송정이야,https://library.cau.ac.kr/#/search/detail/282276
L'ordre du discours :leçon inaugurale au Collège de France prononcée le 2 décembre 1970,"Foucault, Michel","Paris :Gallimard,2014.",194 F762o,https://library.cau.ac.kr/#/search/detail/6871175
Forensic nursing :a handbook for practice,"Hammer, Rita M","Sudbury, Mass. :Jones and Bartlett,c2006.",614.1 H224f,https://library.cau.ac.kr/#/search/detail/6871162
Brush lettering :an instructional manual in western brush calligraphy,"Reaves, Marilyn","New York :Design Books :Distributed by Lyons & Burford,c1994.",745.61 R288b,https://library.cau.ac.kr/#/search/detail/6785122
Theories of political economy,"Caporaso, James A",Cambridge,338.9 C246t,https://library.cau.ac.kr/#/search/detail/6785096
Polyphenols in human health and disease,"Watson, Ronald R",Amsterdam,612.01528 W341p v.1/v.2,https://library.cau.ac.kr/#/search/detail/6785082
Physical medicine and rehabilitation,"Braddom, Randall L","Philadelphia :Elsevier/Saunders,c2011.",615.82 B798p4,https://library.cau.ac.kr/#/search/detail/6785080
"Foundations and best practices in early childhood education :history, theories, and approaches to learning","Follari, Lissanna","Boston :Pearson,c2015.",372.21 F667f3,https://library.cau.ac.kr/#/search/detail/6785050
Molecular pathology in clinical practice,"Leonard, Debra G. B","New York :Springer,c2007.",616.07 L581m,https://library.cau.ac.kr/#/search/detail/6773685
Miller's anesthesia,"Miller, Ronald D","Philadelphia, PA :Elsevier/Saunders,c2015.",617.96 M649a8 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6773684
Olds' maternal-newborn nursing & women's health across the lifespan,"Davidson, Michele R","Boston :Pearson,c2012.",618.20231 M425-9,https://library.cau.ac.kr/#/search/detail/6773675
Introduction to political economy,"Sackrey, Charles","Boston, MA :Dollars & Sense,c2013.",330.01 S121i7,https://library.cau.ac.kr/#/search/detail/6773667
Fundamentals of applied electromagnetics,"Ulaby, Fawwaz T","Upper Saddle River, N.J.",537 U36f6 2014,https://library.cau.ac.kr/#/search/detail/6773655
"Entrepreneurship :theory, process, practice","Kuratko, Donald F","Mason, OH, USA :South-Western Cengage Learning,c2014.",658.421 K96e9,https://library.cau.ac.kr/#/search/detail/6773647
Dibs in search of self,"Axline, Virginia Mae","New York :Ballantine Books,c1964(1967 printing)",618.92891 A969d,https://library.cau.ac.kr/#/search/detail/6773639
Set your voice free,"Love, Roger","Boston, Mass. :Little, Brown,1999(2003 printing)",783.04 L897s,https://library.cau.ac.kr/#/search/detail/6773633
Principles of foundation engineering,"Das, Braja M","Stamford, CT :Cengage Learning,c2011.",624.15 D229p7,https://library.cau.ac.kr/#/search/detail/6773619
Creative activities and curriculum for young children,"Mayesky, Mary","Belmont, CA :Cengage Learning,c2013.",372.5 M468c11,https://library.cau.ac.kr/#/search/detail/6773601
Chemical bonding in solids,"Burdett, Jeremy K","New York :Oxford University Press,c1995.",541.224 B951c,https://library.cau.ac.kr/#/search/detail/6773594
Caring for your teenager :the complete and authoritative guide,"Greydanus, Donald E","New York :Bantam Books,2003.",305.235 G845c,https://library.cau.ac.kr/#/search/detail/6773593
A farewell to alms :a brief economic history of the world,"Clark, Gregory",Princeton,330.9 C593f,https://library.cau.ac.kr/#/search/detail/6773567
"Policies, politics and the future of lifelong learning","Hodgson, Ann","London :Routledge,2013.",374.941 H691p,https://library.cau.ac.kr/#/search/detail/6731529
DeLisa's physical medicine & rehabilitation :principles and practice,"DeLisa, Joel A","Philadelphia :Lippincott Williams & Wilkins Health,c2010.",615.82 D354d5 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6731490
International finance,"Eun, Cheol S","New York :McGraw-Hill Higher Education,c2012.",658.1599 E88im6,https://library.cau.ac.kr/#/search/detail/6722051
Rosai and Ackerman's surgical pathology,"Rosai, Juan",Edinburgh,617.07 R788a10 v.1/v.2,https://library.cau.ac.kr/#/search/detail/6721990
Journal du voyage ... :en Italie,"Montaigne, Michel de","[New York] :Nabu Press,2010.",914.5 M761j,https://library.cau.ac.kr/#/search/detail/6721863
Second language interaction in diverse educational contexts,"McDonough, Kim",Amsterdam,401.80071 M136s,https://library.cau.ac.kr/#/search/detail/6721820
"Mindfulness-oriented recovery enhancement for addiction, stress, and pain","Garland, Eric L","Washington, DC :NASW Press, National Association of Social Workers,[2013].",616.891425 G233m,https://library.cau.ac.kr/#/search/detail/6682784
"Word smart.[2],How to build an educated vocabulary","Robinson, Adam","New York :Random House,2012.",428.1 R658w5 v.2,https://library.cau.ac.kr/#/search/detail/6682777
Arts management,"Chong, Derrick",London,706.8 C548a2,https://library.cau.ac.kr/#/search/detail/6677977
Complete German grammar,"Swick, Edward","New York :McGraw-Hill,2012.",438.2421 S976c,https://library.cau.ac.kr/#/search/detail/6437921
Holy warriors :the religious ideology of chivalry,"Kaeuper, Richard W","Philadelphia :University of Pennsylvania Press,2009.",940.1 K11h,https://library.cau.ac.kr/#/search/detail/6437920
Essays from contemporary culture,"Ackley, Katherine Anne","Boston :Thomson Wadsworth,2004.",808.0427 A182e5,https://library.cau.ac.kr/#/search/detail/6437919
